English,Characters,Pīnyīn
Kyrgyzstan,吉尔吉斯斯坦,Jí'ěrjísīsītǎn
Laos,老挝,Lǎowō
Latvia,拉脱维亚,Lātuōwéiyà
Lebanon,黎巴嫩,Líbānèn
Lesotho,莱索托,Láisuǒtuō
Liberia,利比里亚,Lìbǐlǐyà
Libya,利比亚,Lìbǐyà
Liechtenstein,列支敦士登,Lièzhīdūnshìdēng
Lithuania,立陶宛,Lìtáowǎn
Luxembourg,卢森堡,Lúsēnbǎo
Macedonia,马其顿,Mǎqídùn
Madagascar,马达加斯加,Mǎdájiāsījiā
Malawi,马拉维,Mǎlāwéi
Malaysia,马来西亚,Mǎláixīyà
Maldives,马尔代夫,Mǎ'ěrdàifū
Mali,马里,Mǎlǐ
Malta,马耳他,Mǎ'ěrtā
Marshall Islands,马绍尔群岛,Mǎshào'ěr Qúndǎo
Martinique,马提尼克岛,Mǎtíníkè Dǎo
Mauritania,毛里塔尼亚,Máolǐtǎníyà
Mauritius,毛里求斯,Máolǐqiúsī
Mayotte,马约特岛,Mǎyuētè Dǎo
Mexico,墨西哥,Mòxīgē
"Micronesia, Federated States of",密克罗尼西亚联邦,Mìkèluóníxīyà Liánbāng
Moldova,摩尔多瓦,Mó'ěrduōwǎ
Monaco,摩纳哥,Mónàgē
Mongolia,蒙古,Měnggǔ
Montserrat,蒙特塞拉特,Méngtèsāilātè
Morocco,摩洛哥,Móluògē
Mozambique,莫桑比克,Mòsāngbǐkè
Namibia,纳米比亚,Nàmǐbǐyà
Nauru,瑙鲁,Nǎolǔ
Navassa Island,纳瓦萨岛,Nàwǎsà Dǎo
Nepal,尼泊尔,Níbó'ěr
Netherlands,荷兰,Hélán
Netherlands Antilles,荷属安的列斯,Héshǔ Āndelièsī
New Caledonia,新喀里多尼亚,Xīn Kālǐduōníyà
New Zealand,新西兰,Xīnxīlán
Nicaragua,尼加拉瓜,Níjiālāguā
Niger,尼日尔,Nírì'ěr
Nigeria,尼日利亚,Nírìlìyà
Niue,纽埃,Niǔ'āi
Norfolk Island,诺福克岛,Nuòfúkè Dǎo
North Korea,朝鲜,Cháoxiǎn
Northern Mariana Islands,北马里亚纳群岛,Běi Mǎlǐyànà Qúndǎo
Norway,挪威,Nuówēi
Oman,阿曼,Āmàn
Pakistan,巴基斯坦,Bājīsītǎn
Palau,帕劳,Pàláo
Panama,巴拿马,Bānámǎ
Papua New Guinea,巴布亚新几内亚,Bābùyà Xīnjǐnèiyà
Paracel Islands,西沙群岛,Xīshā Qúndǎo
Paraguay,巴拉圭,Bālāguī
Peru,秘鲁,Bìlǔ
Philippines,菲律宾,Fēilǜbīn
Pitcairn Islands,皮特凯恩群岛,Pítèkǎi'ēn Qúndǎo
Poland,波兰,Bōlán
Portugal,葡萄牙,Pútáoyá
Puerto Rico,波多黎各,Bōduōlígè
Qatar,卡塔尔,Kǎtǎ'ěr
Reunion,留尼汪,Liúníwāng
Romania,罗马尼亚,Luómǎníyà
Russia,俄罗斯,Éluósī
Rwanda,卢旺达,Lúwàngdá
Saint Helena,圣赫勒拿岛,Shèng Hèlèná Dǎo
Saint Kitts and Nevis,圣基茨和尼维斯,Shèngjīcí hé Níwéisī
Saint Lucia,圣卢西亚岛,Shènglúxīyà Dǎo
Saint Pierre and Miquelon,圣皮埃尔和密克隆群岛,Shèng Pí'āi'ěr hé Mìkèlóng Qúndǎo
Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,Shèngwénsēntè hé Gélínnàdīngsī
Samoa,萨摩亚,Sàmóyà
San Marino,圣马力诺,Shèngmǎlìnuò
Sao Tome and Principe,圣多美和普林西比,Shèngduōměi hé Pǔlínxībǐ
Saudi Arabia,沙特阿拉伯,Shātè Ālābó
Senegal,塞内加尔,Sàinèijiā'ěr
Serbia and Montenegro,塞尔维亚和黑山,Sài'ěrwéiyà hé Hēishān
Seychelles,塞舌尔群岛,Sàishé'ěr Qúndǎo
Sierra Leone,塞拉利昂,Sàilālì'áng
Singapore,新加坡,Xīnjiāpō
Slovakia,斯洛伐克,Sīluòfákè
Slovenia,斯洛文尼亚,Sīluòwénníyà
Solomon Islands,所罗门群岛,Suǒluómén Qúndǎo
Somalia,索马里,Suǒmǎlǐ
South Africa,南非,Nánfēi
South Korea,韩国,Hánguó
Spain,西班牙,Xībānyá
Spratly Islands,南沙群岛,Nánshā Qúndǎo
Sri Lanka,斯里兰卡,Sīlǐlánkǎ
Sudan,苏丹,Sūdān
Suriname,苏里南,Sūlǐnán
Svalbard,斯瓦尔巴群岛,Sīwǎ'ěrbā Qúndǎo
Swaziland,斯威士兰,Sīwēishìlán
Sweden,瑞典,Ruìdiǎn
Switzerland,瑞士,Ruìshì
Syria,叙利亚,Xùlìyà
Tajikistan,塔吉克斯坦,Tǎjíkèsītǎn
Tanzania,坦桑尼亚,Tǎnsāngníyà
Thailand,泰国,Tàiguó
Timor-Leste,东帝汶,Dōngdìwèn
Togo,多哥,Duōgē
Tokelau,托克劳,Tuōkèláo
Tonga,汤加,Tāngjiā
Trinidad and Tobago,特立尼达和多巴哥,Tèlìnídá hé Duōbāgē
Tromelin Island,特罗姆兰岛,Tèluómǔlán Dǎo
Tunisia,突尼斯,Túnísī
Turkey,土耳其,Tǔ'ěrqí
Turkmenistan,土库曼斯坦,Tǔkùmànsītǎn
Turks and Caicos Islands,特克斯和凯科斯群岛,Tèkèsī hé Kǎikēsī Qúndǎo
Tuvalu,图瓦卢,Túwǎlú
Uganda,乌干达,Wūgāndá
Ukraine,乌克兰,Wūkèlán
United Arab Emirates,阿拉伯联合酋长国,Ālābó Liánhé-qiúzhǎngguó
United Kingdom,英国,Yīngguó
United States of America,美国,Měiguó
Uruguay,乌拉圭,Wūlāguī
Uzbekistan,乌兹别克斯坦,Wūzībiékèsītǎn
Vanuatu,瓦努阿图,Wǎnǔ'ātú
Venezuela,委内瑞拉,Wěinèiruìlā
Vietnam,越南,Yuènán
Virgin Islands,维尔京群岛,Wéi'ěrjīng Qúndǎo
Wake Island,威克岛,Wēikè Dǎo
Wallis and Futuna,瓦利斯和富图纳群岛,Wǎlìsī hé Fùtúnà Qúndǎo
Western Sahara,西撒哈拉,Xīsāhālā
Yemen,也门,Yěmén
Zambia,赞比亚,Zànbǐyà
Zimbabwe,津巴布韦,Jīnbābùwéi
